ObjectID,Object Number,Mnemonic,Classification,Culture,Period,Display Name,Alpha Sort,Object Name,Title Sort,Date,Begin Date,Medium/Materials,Dimensions,Description,WebDescription
160938,LEEDM.1919.0014,Social History,Architecture,,,,,stone,Plague stone,c. 1604 - 1644,1604,stone,object: 430 x 730 x 730mm,"large stone with hollowed out trough at top and inscription ""1666 / Plague"".  Until about 1910 the stone stood by the side of the Chapeltown road on the site of the lower end of Reginald Terrace.  It is believed that the basin was filled with a mixture of","large stone with hollowed out trough at top and inscription ""1666 / Plague"".  Until about 1910 the stone stood by the side of the Chapeltown road on the site of the lower end of Reginald Terrace.  It is believed that the basin was filled with a mixture of vinegar and water, and that the inhabitants of the city in purchasing produce brought in from the neighbouring countryside dropped their coin into the water, whence it was extracted by the farmer, without direct contact of the coin from hand to hand."
63863,LEEDM.E.1928.0020.G.2,Social History,Ceramics,,,,,jug,Toby jug,mid 18th-early 19th Century,1767,"ceramic, earthenware",object: 280mm,toby jug in the form of an 18th century man,"This Toby jug  shows a man with his bottle of beer.  Unfortunately his pipe is missing!

It is part of the Stephen Cliff bequest left to Leeds Museums in 1928."
63995,LEEDM.E.1932.0226.0001,Social History,Ceramics,,,,,cup,souvenir cup,after 1870,1870,ceramic,object: 62mm,"white porcelain tea cup with black lines round  border and black transfer print of ""BRIGGATE  LEEDS"", engraving dated 1870; unmarked","White porcelain souvenir tea cup with a black transfer print of ""BRIGGATE  LEEDS"". The engraving is dated 1870.
This view of Briggate shows the site of the Moot Hall after it had been demolished for road widening.  The 1829 Corn Exchange seen in the distance was demolished in 1869 to make way for New Briggate, which proves that the view was already out of date when the cup and saucer were made."
64388,LEEDM.E.1938.0041,Social History,Machinery,,Victorian,,,machine,sausage machine,mid 19th-19th Century,1860,wood & brass,"object height: 240mm
object width: 400mm
object depth: 260mm","sausage making machine, wood with brass fittings","A sausage making machine, made of wood with brass fittings.  This was an early exhibit at Abbey House Museum and was displayed in the ""Old English Room"" in 1943."
64777,LEEDM.E.1948.0063.0001,Social History,Toys and games,,,Miss Maude Cooper,"Cooper, Maude Miss",house,"dolls house ""Abbey Grange""",c 1883,1873,wood,object: 1150 x 960 x 755mm,"large dolls house, model of Tudor-style timber  framed house, black and white, with date ""18 MC  83"" over door; 2 storeys; known as ""Abbey Grange""",This house is known as Abbey Grange
64777,LEEDM.E.1948.0063.0001,Social History,Toys and games,,,Miss Maude Cooper,"Cooper, Maude Miss",house,"dolls house ""Abbey Grange""",c 1883,1873,wood,object: 1150 x 960 x 755mm,"large dolls house, model of Tudor-style timber  framed house, black and white, with date ""18 MC  83"" over door; 2 storeys; known as ""Abbey Grange""","This mock Tudor style house was donated to the museum in 1948 by Miss Maude Cooper.  In the 1880's Miss Cooper spent her childhood with her family living in Abbey House, Kirkstall and the dolls house belonged to her as a child.  The initials in the inscription '18 MC 83' over the door are thought to be those of Miss Cooper.  Known as Abbey Grange, this style of mock Tudor house can be found in other dolls houses of the period.  Access to some of the rooms is via the front but others are accessed from the back.  On some of the internal doors there are detailed pictures of characters. When the house was donated it was fully furnished with nineteenth and twentieth century furniture and at some stage it was installed with electrical lighting.
The Cooper family rented Abbey House from 1883 to 1890.  Leonard Cooper was an industrialist who owned the Airedale Hematite Company in Hunslet, which manufactured pig iron for Kirkstall Forge."
105874,LEEDM.E.1948.0089,Social History,Transport,,,,,cycle,penny farthing,1870-1880,1870,"metal, iron; metal, steel; wood",object: 1440 x 1500mm,"penny farthing bicycle, 1870s","Penny farthing bicycle, 1870s.  The popular nick-name ""penny farthing"" is based on the discrepancy in size between the larger penny and smaller farthing in pre-decimal coinage."
106090,LEEDM.E.1949.0036,Social History,Transport,,,,,cycle,bone shaker bicycle,1860-1880,1860,"metal, iron; metal, steel; wood; leather",object: 1650 x 1200mm,"bone shaker bicycle, leather saddle, carrier  affixed to front, large front wheel, small rear  wheel","A ""bone shaker"" bicycle with a leather saddle and a carrier fixed to the front.  It has a larger front wheel and small rear wheel, but the size difference is not as marked as with the penny-farthing.  The nick-name ""bone shaker"" relates to the fact that there is no suspension and the tyres are solid."
65073,LEEDM.E.1953.0029,Social History,Music,,,Edward Light,"Light, Edward",harp,harp lute,after 1816,1816,wood & metal,"object height: 855mm
object width: 330mm
object depth: 150mm","harp-lute, 18 strings  gold and black painted decoration, marked ""LIGHT /  Foley Place / LONDON / PATENT No.121""","A harp-lute with 18 strings,  gold and black painted decoration.  It is  marked ""LIGHT / Foley Place / LONDON / PATENT No.121"".  It was panted by Edward Light in 1816 and was one of the earliest designs to receive a patent in England."
131530,LEEDM.E.1953.0104.0332,Social History,Instruments and Tools,,,King,King,squeezer,lemon squeezer,late 19th Century,1870,"metal, iron; glass","object height: 80mm
object width: 250mm
object depth: 88mm","black enamel iron lemon squeezer, embossed KING,  hinged with 2 handles, glass cup set in base with dome in centre","Cast iron lemon squeezer, embossed KING,  hinged with two handles and a glass cup set in the base with a dome in the centre."
